animal,energie,faim,nourriture,predateurs,pret_reproduction,partenaire_proche,action,time,id_unique
lion,90,76,0,0,0,0,chasser,1,lion_1
lion,92,63,0,0,0,0,chasser,1,lion_1
lion,84,51,0,0,0,0,chasser,1,lion_1
lion,97,65,0,0,0,0,chasser,1,lion_1
lion,70,52,0,0,0,0,chasser,1,lion_1
lapin,49,92,0,0,0,0,explorer,1,lapin_1
lapin,38,87,0,0,0,0,explorer,1,lapin_1
lion,83,76,0,0,0,0,chasser,1,lion_1
ours,60,90,0,0,0,0,chasser,1,ours_1
ours,86,72,0,0,0,0,chasser,1,ours_1
lion,83,71,0,0,0,0,chasser,1,lion_1
lion,99,77,0,0,0,0,chasser,1,lion_1
ours,75,77,0,0,0,0,chasser,1,ours_1
lion,75,76,0,0,0,0,chasser,1,lion_1
lion,78,52,0,0,0,0,chasser,1,lion_1
lion,100,79,0,0,0,0,chasser,1,lion_1
lion,86,76,0,0,0,0,chasser,1,lion_1
lapin,51,74,0,0,0,0,explorer,1,lapin_1
lion,76,54,0,0,0,0,chasser,1,lion_1
ours,68,90,0,0,0,0,chasser,1,ours_1
lapin,40,80,0,0,0,0,explorer,1,lapin_1
lion,86,70,0,0,0,0,chasser,1,lion_1
lion,71,58,0,0,0,0,chasser,1,lion_1
lion,75,76,0,0,0,0,chasser,1,lion_1
ours,65,78,0,0,0,0,chasser,1,ours_1
ours,67,84,0,0,0,0,chasser,1,ours_1
lapin,48,71,0,0,0,0,explorer,1,lapin_1
ours,81,89,0,0,0,0,chasser,1,ours_1
lapin,55,80,0,0,0,0,explorer,1,lapin_1
ours,60,62,0,0,0,0,chasser,1,ours_1
lion,89.98902989955806,76.02,0,0,0,0,chasser,2,lion_2
lion,91.99226989955807,63.02,0,0,0,0,chasser,2,lion_2
lion,83.98956989955806,51.02,0,0,0,0,chasser,2,lion_2
lion,96.99267489955807,65.02,0,0,0,0,chasser,2,lion_2
lion,69.99253989955807,52.02,0,0,0,0,chasser,2,lion_2
lapin,48.999694899558065,92.02,0,0,0,0,explorer,2,lapin_2
lapin,37.999739899558065,87.02,0,0,0,0,explorer,2,lapin_2
lion,82.99078489955807,76.02,0,0,0,0,chasser,2,lion_2
ours,59.98304489955807,90.02,0,0,0,0,chasser,2,ours_2
ours,85.98439489955807,72.02,0,0,0,0,chasser,2,ours_2
lion,82.99258489955807,71.02,0,0,0,0,chasser,2,lion_2
lion,98.99244989955807,77.02,0,0,0,0,chasser,2,lion_2
ours,74.97296489955806,77.02,0,0,0,0,chasser,2,ours_2
lion,74.99195489955807,76.02,0,0,0,0,chasser,2,lion_2
lion,77.98862489955806,52.02,0,0,0,0,chasser,2,lion_2
lion,99.99060489955806,79.02,0,0,0,0,chasser,2,lion_2
lion,85.98857989955806,76.02,0,0,0,0,chasser,2,lion_2
lapin,50.999694899558065,74.02,0,0,0,0,explorer,2,lapin_2
lion,75.98898489955806,54.02,0,0,0,0,chasser,2,lion_2
ours,67.98511489955807,90.02,0,0,0,0,chasser,2,ours_2
lapin,39.999694899558065,80.02,0,0,0,0,explorer,2,lapin_2
lion,85.99028989955806,70.02,0,0,0,0,chasser,2,lion_2
lion,70.99222489955807,58.02,0,0,0,0,chasser,2,lion_2
lion,74.98907489955806,76.02,0,0,0,0,chasser,2,lion_2
ours,64.98790489955806,78.02,0,0,0,0,chasser,2,ours_2
ours,66.99384489955807,84.02,0,0,0,0,chasser,2,ours_2
lapin,47.999694899558065,71.02,0,0,0,0,explorer,2,lapin_2
ours,80.99249489955807,89.02,0,0,0,0,chasser,2,ours_2
lapin,54.999784899558065,80.02,0,0,0,0,explorer,2,lapin_2
ours,59.990064899558064,62.02,0,0,0,0,chasser,2,ours_2
lion,89.97805979911612,76.03999999999999,0,0,0,0,chasser,3,lion_3
lion,91.98453979911613,63.040000000000006,0,0,0,0,chasser,3,lion_3
lion,83.97913979911613,51.040000000000006,0,0,0,0,chasser,3,lion_3
lion,96.98534979911614,65.03999999999999,0,0,0,0,chasser,3,lion_3
lion,69.98507979911614,52.040000000000006,0,0,0,0,chasser,3,lion_3
lapin,48.99938979911613,92.03999999999999,0,0,0,0,explorer,3,lapin_3
lapin,37.99947979911613,87.03999999999999,0,0,0,0,explorer,3,lapin_3
lion,82.98156979911613,76.03999999999999,0,0,0,0,chasser,3,lion_3
ours,59.96608979911613,90.03999999999999,0,0,0,0,chasser,3,ours_3
ours,85.96878979911614,72.03999999999999,0,0,0,0,chasser,3,ours_3
lion,82.98516979911614,71.03999999999999,0,0,0,0,chasser,3,lion_3
lion,98.98489979911614,77.03999999999999,0,0,0,0,chasser,3,lion_3
ours,74.94592979911613,77.03999999999999,0,0,0,0,chasser,3,ours_3
lion,74.98390979911613,76.03999999999999,0,0,0,0,chasser,3,lion_3
lion,77.97724979911612,52.040000000000006,0,0,0,0,chasser,3,lion_3
lion,99.98120979911613,79.03999999999999,0,0,0,0,chasser,3,lion_3
lion,85.97715979911612,76.03999999999999,0,0,0,0,chasser,3,lion_3
lapin,50.99938979911613,74.03999999999999,0,0,0,0,explorer,3,lapin_3
lion,75.97796979911612,54.040000000000006,0,0,0,0,chasser,3,lion_3
ours,67.97022979911614,90.03999999999999,0,0,0,0,chasser,3,ours_3
lapin,39.99938979911613,80.03999999999999,0,0,0,0,explorer,3,lapin_3
lion,85.98057979911613,70.03999999999999,0,0,0,0,chasser,3,lion_3
lion,70.98444979911613,58.040000000000006,0,0,0,0,chasser,3,lion_3
lion,74.97814979911612,76.03999999999999,0,0,0,0,chasser,3,lion_3
ours,64.97580979911612,78.03999999999999,0,0,0,0,chasser,3,ours_3
ours,66.98768979911614,84.03999999999999,0,0,0,0,chasser,3,ours_3
lapin,47.99938979911613,71.03999999999999,0,0,0,0,explorer,3,lapin_3
ours,80.98498979911614,89.03999999999999,0,0,0,0,chasser,3,ours_3
lapin,54.99956979911613,80.03999999999999,0,0,0,0,explorer,3,lapin_3
ours,59.98012979911613,62.040000000000006,0,0,0,0,chasser,3,ours_3
lion,89.96708969867419,76.05999999999999,0,0,0,0,chasser,4,lion_4
lion,91.9768096986742,63.06000000000001,0,0,0,0,chasser,4,lion_4
lion,83.96870969867419,51.06000000000001,0,0,0,0,chasser,4,lion_4
lion,96.9780246986742,65.05999999999999,0,0,0,0,chasser,4,lion_4
lion,69.9776196986742,52.06000000000001,0,0,0,0,chasser,4,lion_4
lapin,48.999084698674196,92.05999999999999,0,0,0,0,explorer,4,lapin_4
lapin,37.999219698674196,87.05999999999999,0,0,0,0,explorer,4,lapin_4
lion,82.9723546986742,76.05999999999999,0,0,0,0,chasser,4,lion_4
ours,59.9491346986742,90.05999999999999,0,0,0,0,chasser,4,ours_4
ours,85.9531846986742,72.05999999999999,0,0,0,0,chasser,4,ours_4
lion,82.9777546986742,71.05999999999999,0,0,0,0,chasser,4,lion_4
lion,98.9773496986742,77.05999999999999,0,0,0,0,chasser,4,lion_4
ours,74.9188946986742,77.05999999999999,0,0,0,0,chasser,4,ours_4
lion,74.9758646986742,76.05999999999999,0,0,0,0,chasser,4,lion_4
lion,77.96587469867418,52.06000000000001,0,0,0,0,chasser,4,lion_4
lion,99.9718146986742,79.05999999999999,0,0,0,0,chasser,4,lion_4
lion,85.96573969867418,76.05999999999999,0,0,0,0,chasser,4,lion_4
