animal,energie,faim,nourriture,predateurs,pret_reproduction,partenaire_proche,decision
1,70,16,0,2,1,0,2
1,70,45,0,0,1,1,5
2,82,1,0,2,0,1,2
0,76,92,0,1,1,1,2
2,53,29,1,0,1,1,5
1,64,76,0,0,0,0,1
2,10,41,0,1,0,1,2
0,65,43,0,0,0,1,1
0,91,76,1,1,0,0,2
0,93,65,0,1,1,1,2
0,58,7,1,2,0,1,2
0,76,34,0,0,1,1,5
1,93,57,0,1,1,1,2
1,2,34,1,2,0,0,4
2,75,46,1,2,0,1,2
0,57,66,0,2,1,0,2
2,11,49,0,0,1,0,1
1,22,96,1,0,0,0,0
0,80,55,1,2,1,1,2
2,46,37,1,0,0,0,1
0,6,59,0,1,0,1,2
0,81,26,1,2,1,1,2
2,41,43,1,2,0,0,2
0,13,58,0,2,0,0,2
0,63,59,1,1,0,1,2
1,56,18,0,0,0,1,1
2,11,51,1,0,1,1,0
1,73,45,0,2,1,1,2
2,95,100,0,1,0,1,2
0,91,64,0,2,1,0,2
2,26,10,0,2,0,1,2
1,96,37,1,2,0,1,2
1,40,37,0,1,0,0,2
0,21,22,0,2,0,0,2
0,87,99,0,1,0,0,2
1,43,8,0,0,0,0,1
1,100,40,0,1,0,1,2
2,66,49,1,2,1,1,2
0,31,20,1,0,1,0,1
2,0,80,1,1,1,1,4
1,50,15,1,2,1,1,2
1,78,44,1,1,1,1,2
2,25,37,1,2,1,1,2
2,57,75,0,0,0,1,1
0,86,85,1,2,1,0,2
2,65,44,1,2,0,1,2
1,10,71,1,0,1,1,0
2,52,10,0,2,1,0,2
2,26,76,1,2,1,0,2
1,49,57,0,1,1,0,2
2,62,47,0,0,0,1,1
1,11,93,0,1,1,1,2
2,68,85,0,2,0,0,2
0,89,39,0,0,1,0,1
1,42,57,1,0,0,0,3
1,29,63,0,1,1,0,2
2,61,36,0,2,1,1,2
2,47,85,1,1,0,0,2
1,90,28,1,1,0,1,2
2,69,69,0,1,0,1,2
1,34,16,1,0,0,0,1
1,50,7,1,0,0,1,1
2,32,22,0,1,0,1,2
2,66,10,1,2,1,1,2
2,54,34,1,0,1,1,5
1,12,11,1,2,1,1,2
0,60,54,0,0,0,1,1
2,81,44,1,2,1,1,2
1,58,24,0,2,0,0,2
2,68,35,0,2,1,1,2
2,4,78,1,2,1,0,2
2,48,85,0,0,1,0,1
1,34,11,1,2,1,1,2
2,20,91,1,2,1,0,2
0,77,14,0,1,0,1,2
1,50,56,0,1,0,0,2
2,1,38,1,1,0,1,4
1,26,91,1,0,1,0,0
1,72,91,1,1,0,1,2
2,25,67,1,1,1,1,2
1,20,94,0,0,1,0,0
1,49,77,1,2,1,0,2
0,86,58,0,2,1,0,2
2,45,79,1,1,0,1,2
0,82,100,0,2,0,0,2
1,31,35,0,2,1,0,2
0,55,31,1,0,0,0,1
2,50,81,1,1,1,0,2
0,65,65,0,0,0,1,1
0,6,48,1,0,1,0,3
1,87,8,0,1,0,1,2
2,61,18,0,0,1,1,5
1,69,10,0,1,1,1,2
1,83,62,1,0,1,1,3
2,82,1,1,1,0,1,2
2,56,48,1,0,1,1,3
1,82,62,0,1,0,1,2
2,22,15,0,2,1,0,2
0,92,78,0,1,1,0,2
1,88,71,1,1,0,0,2
2,99,64,1,1,1,0,2
0,39,78,1,0,0,1,3
2,35,13,0,1,1,0,2
1,84,58,0,0,1,1,5
2,90,87,1,1,0,0,2
0,56,64,1,1,1,1,2
0,9,21,0,2,1,1,2
1,61,67,0,0,0,1,1
2,16,63,1,1,1,1,2
0,75,86,0,2,0,0,2
0,34,18,1,1,0,0,2
2,14,97,1,1,0,1,2
2,69,26,0,0,0,0,1
2,99,53,0,2,1,1,2
2,56,99,0,2,1,0,2
0,71,69,0,2,1,0,2
2,64,97,1,1,0,1,2
2,59,96,0,1,1,1,2
1,66,5,1,2,0,1,2
0,99,2,0,1,1,0,2
0,84,71,0,1,0,0,2
2,50,12,0,0,1,0,1
1,12,8,1,0,1,1,1
0,17,71,0,1,1,0,2
1,61,94,0,1,1,0,2
2,29,86,1,0,1,0,0
1,13,44,1,1,1,0,2
1,39,32,0,2,1,1,2
1,98,79,1,2,0,1,2
2,73,81,1,0,1,0,3
1,0,4,1,2,0,0,4
0,43,6,0,2,1,0,2
0,82,62,0,1,0,0,2
2,0,19,1,2,1,1,4
0,75,37,0,1,0,1,2
2,99,94,1,2,1,1,2
2,7,91,1,0,1,1,0
2,90,4,1,1,0,1,2
1,46,41,0,0,1,0,1
0,59,91,0,0,0,1,1
0,57,34,0,0,1,1,5
